
Conex�es ativas

  Proto  Endere�o local         Endere�o externo       Estado           PID
  UDP    0.0.0.0:50334          *:*                                    38636
  UDP    0.0.0.0:50698          *:*                                    2976
  UDP    0.0.0.0:51535          *:*                                    4720
  UDP    0.0.0.0:51536          *:*                                    4720
  UDP    0.0.0.0:51537          *:*                                    4720
  UDP    0.0.0.0:51538          *:*                                    4720
  UDP    0.0.0.0:51539          *:*                                    4720
  UDP    0.0.0.0:51540          *:*                                    4720
  UDP    0.0.0.0:51779          *:*                                    4672
  UDP    0.0.0.0:52350          *:*                                    6568
  UDP    0.0.0.0:52845          0.0.0.84:443                           19600
  UDP    0.0.0.0:53972          *:*                                    24988
  UDP    0.0.0.0:54334          *:*                                    2132
  UDP    0.0.0.0:54336          *:*                                    2132
  UDP    0.0.0.0:54425          *:*                                    6568
  UDP    0.0.0.0:54589          *:*                                    4380
  UDP    0.0.0.0:55659          0.0.32.14:443                          19600
  UDP    0.0.0.0:57120          *:*                                    4420
  UDP    0.0.0.0:57121          *:*                                    4420
  UDP    0.0.0.0:58252          0.0.32.3:443                           19600
  UDP    0.0.0.0:60549          *:*                                    5352
  UDP    0.0.0.0:61461          *:*                                    10852
  UDP    0.0.0.0:61946          *:*                                    5656
  UDP    0.0.0.0:62144          0.0.32.14:443                          19600
  UDP    0.0.0.0:62807          *:*                                    2844
  UDP    0.0.0.0:64414          *:*                                    2976
  UDP    0.0.0.0:64917          *:*                                    19600
  UDP    127.0.0.1:1900         *:*                                    8172
  UDP    127.0.0.1:2021         *:*                                    24988
  UDP    127.0.0.1:2021         *:*                                    2844
  UDP    127.0.0.1:2021         *:*                                    36188
  UDP    127.0.0.1:10010        *:*                                    432
  UDP    127.0.0.1:51469        *:*                                    8172
  UDP    127.0.0.1:51778        127.0.0.1:51778                        3836
  UDP    127.0.0.1:61693        *:*                                    432
  UDP    169.254.107.63:5353    *:*                                    5656
  UDP    169.254.141.241:137    *:*                                    4
  UDP    169.254.141.241:138    *:*                                    4
  UDP    169.254.188.22:137     *:*                                    4
  UDP    169.254.188.22:138     *:*                                    4
  UDP    169.254.219.24:137     *:*                                    4
  UDP    169.254.219.24:138     *:*                                    4
